_id,singkat,hasil
1,u,you
2,r,are
3,ur,your
4,luv,love
5,gr8,great
6,b4,before
7,l8r,later
8,omg,oh my god
9,lol,laugh out loud
10,brb,be right back
11,ttyl,talk to you later
12,idk,i don't know
13,btw,by the way
14,thx,thanks
15,pls,please
16,plz,please
17,cya,see you
18,bcoz,because
19,msg,message
20,txt,text
21,ya,yeah
22,nite,night
23,tmrw,tomorrow
24,gud,good
25,k,okay
26,2nite,tonight
27,w8,wait
28,b4n,bye for now
29,f9,fine
30,gratz,congratulations
31,nvm,never mind
32,afaik,as far as i know
33,bff,best friend forever
34,hbd,happy birthday
35,jk,just kidding
36,np,no problem
37,rofl,rolling on the floor laughing
38,smh,shaking my head
39,ttys,talk to you soon
40,ty,thank you
41,yw,you're welcome
42,w/,with
43,w/o,without
44,xoxo,hugs and kisses
45,<3,love
46,atm,at the moment
47,bc,because
48,bday,birthday
49,cuz,because
